date,price
2008-10-22,356.845
2008-10-23,347.995
2008-10-24,337.605
2008-10-27,334.3
2008-10-28,348.90999999999997
2008-10-29,361.685
2008-10-30,365.185
2008-10-31,363.11495
2008-11-03,352.21000000000004
2008-11-04,358.93
2008-11-05,355.095
2008-11-06,335.115
2008-11-07,333.2405
2008-11-10,319.457
2008-11-11,308.4105
2008-11-12,300.12495
2008-11-13,296.5
2008-11-14,313.775
2008-11-17,304.055
2008-11-18,294.54
2008-11-19,289.385
2008-11-20,270.99
2008-11-21,258.33500000000004
2008-11-24,259.48
2008-11-25,276.99
2008-11-26,285.83
2008-11-28,292.36505
2008-12-01,276.68145000000004
2008-12-02,270.18005
2008-12-03,273.35
2008-12-04,276.13
2008-12-05,274.13
2008-12-08,295.72
2008-12-09,307.505
2008-12-10,309.705
2008-12-11,305.34000000000003
2008-12-12,305.235
2008-12-15,311.8
2008-12-16,320.385
2008-12-17,317.275
2008-12-18,314.73
2008-12-19,313.395
2008-12-22,300.065
2008-12-23,299.99
2008-12-24,302.36
2008-12-26,301.78499999999997
2008-12-29,296.48
2008-12-30,302.76
2008-12-31,306.80505
2009-01-02,313.65995
2009-01-05,323.12
2009-01-06,333.5945
2009-01-07,324.82995
2009-01-08,321.265
2009-01-09,320.45
2009-01-12,314.59000000000003
2009-01-13,315.495
2009-01-14,305.775
2009-01-15,295.185
2009-01-16,301.975
2009-01-20,291.125
2009-01-21,295.925
2009-01-22,302.25
2009-01-23,318.09000000000003
2009-01-26,324.28
2009-01-27,329.07
2009-01-28,344.32
2009-01-29,342.58000000000004
2009-01-30,342.40049999999997
2009-02-02,338.5
2009-02-03,338.41425000000004
2009-02-04,346.805
2009-02-05,346.19
2009-02-06,364.625
2009-02-09,374.15
2009-02-10,367.695
2009-02-11,359.0
2009-02-12,357.55
2009-02-13,359.11
2009-02-17,343.39
2009-02-18,346.95
2009-02-19,350.605
2009-02-20,341.96000000000004
2009-02-23,339.675
2009-02-24,340.255
2009-02-25,345.61
2009-02-26,344.82500000000005
2009-02-27,337.46500000000003
2009-03-02,333.34995000000004
2009-03-03,328.02
2009-03-04,322.19
2009-03-05,310.86
